arkansas,alabama
campbell,monmouth
le-moyne,merrimack
samford,

longwood,high-point
memphis,florida-atlantic
georgetown,st.-john's
brown,yale
georgia-southern,appalachian-state
saint-louis,st.-bonaventure
rhode-island,fordham
davidson,saint-joseph's
siena,iona
western-kentucky,liberty
iowa-state,kansas-state
wagner,central-connecticut
maine,bryant
oklahoma,texas
west-virginia,cincinnati
texas-a&m,ole-miss
george-washington,duquesne
quinnipiac,saint-peter's
niagara,marist
cornell,columbia
creighton,villanova
south-carolina,mississippi-state
william-&-mary,towson
unc-greensboro,

notre-dame,virginia-tech
richmond,george-mason
south-florida,tulsa
ualbany,vermont
binghamton,new-hampshire
umbc,umass-lowell
louisiana,arkansas-state
utah-tech,stephen-f.-austin
middle-tennessee,louisiana-tech
jacksonville-state,sam-houston
mississippi-valley-state,jackson-state
kansas,houston
kentucky,tennessee
arkansas-pine-bluff,alcorn-state
miami,florida-state
charlotte,east-carolina
la-salle,loyola-chicago
colorado-state,air-force
fairfield,mount-st.-mary's
canisius,manhattan
bethune-cookman,florida-a&m
utah-valley,abilene-christian
florida-international,new-mexico-state
florida,vanderbilt
marquette,xavier
colorado,oregon-state
ucf,tcu
grambling,alabama-state
southern,alabama-a&m
seattle-u,tarleton-state
boston-college,louisville
baylor,texas-tech
northeastern,stony-brook
texas-state,troy
wofford,chattanooga
clemson,wake-forest
prairie-view-a&m,texas-southern
princeton,pennsylvania
uc-davis,long-beach-state
north-carolina,duke
georgia,auburn
utah,oregon
wyoming,fresno-state
cal-poly,uc-san-diego
sacramento-state,idaho
southern-utah,ut-rio-grande-valley
nc-state,pittsburgh
uconn,providence
georgia-tech,virginia
north-texas,rice
grand-canyon,california-baptist
new-mexico,utah-state
marshall,james-madison
furman,western-carolina
depaul,seton-hall
missouri,lsu
oklahoma-state,byu
minnesota,northwestern
uc-irvine,cal-state-fullerton
denver,kansas-city
arizona,usc
santa-clara,
idaho-state,northern-arizona
uc-riverside,uc-santa-barbara
unlv,nevada
arizona-state,ucla
cal-state-bakersfield,hawai'i
