Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,15,6,9,.400,-4.53,-0.67,,1,3,,3,3,,1,5,,1148,1151,,610,395,899,.439,84,248,.339,274,379,.723,141,503,211,120,21,198,310
2,Air Force,14,7,7,.500,-4.68,-5.32,,0,2,,4,4,,3,2,,944,935,,565,329,725,.454,115,323,.356,171,250,.684,104,436,210,107,65,180,243
3,Akron,16,12,4,.750,5.85,-0.08,,4,0,,7,0,,4,1,,1234,1050,,645,435,923,.471,145,407,.356,219,306,.716,170,583,238,104,40,190,254
4,Alabama,15,10,5,.667,25.32,8.59,,2,0,,7,1,,1,1,,1359,1108,,600,456,927,.492,176,446,.395,271,351,.772,182,600,243,115,65,178,273
5,Alabama A&M,16,3,13,.188,-17.57,-3.13,,2,1,,1,3,,2,9,,1122,1353,,645,382,920,.415,72,248,.290,286,398,.719,188,556,169,128,55,263,344
6,Alabama State,16,7,9,.438,-8.60,1.10,,2,1,,3,2,,2,7,,1148,1159,,645,414,1067,.388,116,387,.300,204,282,.723,215,641,189,144,57,183,314
7,Albany (NY),16,9,7,.563,-5.98,-6.18,,1,0,,5,0,,4,6,,1234,1192,,640,440,991,.444,114,354,.322,240,338,.710,193,609,212,140,54,239,300
8,Alcorn State,15,2,13,.133,-15.00,4.14,,1,1,,1,0,,1,13,,1042,1302,,600,379,917,.413,72,223,.323,212,316,.671,179,508,151,114,23,175,279
9,American,16,8,8,.500,-8.49,-6.09,,2,1,,5,1,,3,7,,1172,1179,,645,418,927,.451,159,441,.361,175,249,.703,165,547,244,101,29,171,272
10,Appalachian State,16,12,4,.750,5.42,-2.65,,3,1,,6,0,,3,3,,1245,1018,,650,470,1003,.469,112,369,.304,193,290,.666,173,674,250,104,105,162,228
11,Arizona,15,12,3,.800,31.02,10.22,,3,1,,8,0,,2,1,,1389,1077,,610,511,1008,.507,119,309,.385,248,338,.734,200,662,299,141,54,191,245
12,Arizona State,16,10,6,.625,6.84,8.34,,4,1,,7,0,,2,2,,1108,1132,,640,389,928,.419,109,354,.308,221,348,.635,123,551,195,135,71,177,247
13,Arkansas,15,9,6,.600,7.42,5.09,,0,2,,8,2,,0,1,,1187,1152,,610,402,868,.463,98,298,.329,285,400,.713,139,561,179,82,97,188,300
14,Arkansas State,16,7,9,.438,-0.96,-0.90,,3,1,,5,1,,1,7,,1265,1266,,640,440,999,.440,165,461,.358,220,317,.694,203,605,251,88,69,197,302
15,Arkansas-Pine Bluff,15,5,10,.333,-18.14,0.50,,0,2,,4,3,,1,7,,1264,1307,,600,426,940,.453,169,443,.381,243,313,.776,131,502,245,116,38,197,286
16,Army,16,5,11,.313,-13.35,-8.71,,1,2,,4,5,,1,6,,982,1004,,645,361,894,.404,135,420,.321,125,221,.566,171,564,209,104,61,207,246
17,Auburn,15,13,2,.867,21.78,3.18,,2,0,,8,0,,1,1,,1252,973,,600,434,927,.468,118,357,.331,266,357,.745,185,603,281,106,84,153,269
18,Austin Peay,17,8,9,.471,-5.13,-0.49,,1,1,,5,1,,2,7,,1152,1118,,680,425,1016,.418,133,390,.341,169,249,.679,184,595,189,137,59,162,295
19,Ball State,15,8,7,.533,-7.87,-5.03,,0,3,,7,2,,1,4,,1110,1045,,600,375,824,.455,114,308,.370,246,327,.752,150,524,178,78,42,186,220
20,Baylor,15,13,2,.867,21.83,4.26,,2,0,,9,0,,1,0,,1315,1043,,605,466,911,.512,141,326,.433,242,330,.733,181,541,239,109,60,171,251
21,Bellarmine,18,4,14,.222,-10.09,3.51,,0,3,,3,4,,1,10,,1218,1328,,720,446,1050,.425,139,409,.340,187,233,.803,145,578,251,100,41,190,272
22,Belmont,16,11,5,.688,2.24,1.57,,4,1,,7,0,,3,4,,1271,1227,,645,459,938,.489,134,361,.371,219,312,.702,122,541,237,130,47,215,245
23,Bethune-Cookman,14,6,8,.429,-13.62,-3.87,,1,0,,5,0,,1,6,,1040,1049,,560,379,880,.431,83,285,.291,199,281,.708,169,493,177,181,41,214,300
